timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:17:05.114911+07:00,Cần Thơ,93,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,25.0°C,31.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:26:50.432217+07:00,Cần Thơ,93,/dl/web/weather/ic-w-12-night-rain-full.svg,1.8 km/h,94%,25.0°C,31.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:15:53.940578+07:00,Cần Thơ,95,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,25.0°C,32.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:21:31.494818+07:00,Cần Thơ,95,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%,25.0°C,32.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:18:20.530645+07:00,Cần Thơ,95,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,25.0°C,32.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:18:52.079960+07:00,Cần Thơ,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,25.0°C,25.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:18:18.992790+07:00,Cần Thơ,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,100%,25.0°C,25.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T08:43:13.171932+07:00,Cần Thơ,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%,26.1°C,25.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:12:49.475880+07:00,Cần Thơ,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,79%,28.9°C,25.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:23:04.265344+07:00,Cần Thơ,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,70%,30.0°C,23.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:19:27.261257+07:00,Cần Thơ,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,70%,30.0°C,23.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:28:56.327357+07:00,Cần Thơ,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.1 km/h,94%,26.1°C,23.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:19:48.794715+07:00,Cần Thơ,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.1 km/h,94%,26.1°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:26:13.222005+07:00,Cần Thơ,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,89%,27.2°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:21:38.301113+07:00,Cần Thơ,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.5 km/h,100%,25.0°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:21:06.465650+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,23.9°C,17.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:17:07.987757+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,100%,25.0°C,17.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:39:40.249886+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,100%,25.0°C,17.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:29:53.344702+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,100%,25.0°C,17.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:19:40.800135+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,89%,26.1°C,17.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:21:13.165109+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,89%,26.1°C,17.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T23:23:46.849233+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,26.1°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T00:18:22.435108+07:00,Cần Thơ,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,25.0°C,17.9,N/A,N/A,N/A,N/A,N/A
