timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:16:47.088318+07:00,Đà Nẵng,22,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,78%,20.0°C,4.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:26:32.659707+07:00,Đà Nẵng,22,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,78%,20.0°C,4.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:15:38.113519+07:00,Đà Nẵng,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,78%,20.0°C,8.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:21:13.792086+07:00,Đà Nẵng,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,73%,20.0°C,6.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:18:04.083522+07:00,Đà Nẵng,22,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,73%,20.0°C,4.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:18:35.931451+07:00,Đà Nẵng,19,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,73%,20.0°C,3.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:18:01.839424+07:00,Đà Nẵng,14,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,73%,20.0°C,2.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T08:42:55.828236+07:00,Đà Nẵng,47,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,68%,22.2°C,8.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:12:32.820546+07:00,Đà Nẵng,11,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%,22.8°C,2.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:22:46.622409+07:00,Đà Nẵng,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.1 km/h,68%,22.2°C,12.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:19:09.679618+07:00,Đà Nẵng,47,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,31.5 km/h,73%,22.2°C,8.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:28:38.719423+07:00,Đà Nẵng,36,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,27.8 km/h,68%,22.2°C,6.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:19:32.593175+07:00,Đà Nẵng,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,27.8 km/h,68%,22.2°C,6.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:25:56.491856+07:00,Đà Nẵng,36,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.1 km/h,68%,22.2°C,6.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:21:19.621718+07:00,Đà Nẵng,36,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,29.6 km/h,73%,21.1°C,6.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:20:50.143413+07:00,Đà Nẵng,47,/dl/web/weather/ic-w-02-new-clouds-full.svg,24.1 km/h,73%,21.1°C,8.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:16:51.349858+07:00,Đà Nẵng,52,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,20.4 km/h,73%,20.0°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:39:23.082856+07:00,Đà Nẵng,64,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,20.4 km/h,73%,20.0°C,16.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:29:35.248040+07:00,Đà Nẵng,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,73%,18.9°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:19:24.167677+07:00,Đà Nẵng,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,73%,18.9°C,13.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:20:54.169865+07:00,Đà Nẵng,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,73%,18.9°C,16.5,N/A,N/A,N/A,N/A,N/A
